Ticker,Name,Sector,AssetClass,MarketValue,NotionalValue,Shares,Price,Location,Exchange,Currency,FXRate,MarketCurrency,AccrualDate,Weight
MDC,MDC HOLDINGS INC,Consumer Discretionary,Equity,723518.46,723518.46,14958,48.37,United States,New York Stock Exchange Inc.,USD,1,USD,,0.01
PRMW,PRIMO WATER CORP,Consumer Staples,Equity,721202.47,721202.47,45047,16.01,Canada,New York Stock Exchange Inc.,USD,1,USD,,0.01
TEX,TEREX CORP,Industrials,Equity,721158.12,721158.12,18047,39.96,United States,New York Stock Exchange Inc.,USD,1,USD,,0.01
FBP,FIRST BANCORP,Financials,Equity,718700.07,718700.07,53997,13.31,United States,New York Stock Exchange Inc.,USD,1,USD,,0.01
SPXC,SPX CORP,Industrials,Equity,716540.15,716540.15,12335,58.09,United States,New York Stock Exchange Inc.,USD,1,USD,,0.01
INDB,INDEPENDENT BANK CORP,Financials,Equity,715636.38,715636.38,8978,79.71,United States,NASDAQ,USD,1,USD,,0.01
FIX,COMFORT SYSTEMS USA INC,Industrials,Equity,715580.64,715580.64,9118,78.48,United States,New York Stock Exchange Inc.,USD,1,USD,,0.01
AAON,AAON INC,Industrials,Equity,714844.4,714844.4,10606,67.4,United States,NASDAQ,USD,1,USD,,0.01
AVA,AVISTA CORP,Utilities,Equity,709830.4,709830.4,18016,39.4,United States,New York Stock Exchange Inc.,USD,1,USD,,0.01
MGEE,MGE ENERGY INC,Utilities,Equity,710073.6,710073.6,9544,74.4,United States,NASDAQ,USD,1,USD,,0.01
FSS,FEDERAL SIGNAL CORP,Industrials,Equity,703458.66,703458.66,17301,40.66,United States,New York Stock Exchange Inc.,USD,1,USD,,0.01
PDCO,PATTERSON COMPANIES INC,Health Care,Equity,703266.76,703266.76,21679,32.44,United States,NASDAQ,USD,1,USD,,0.01
WERN,WERNER ENTERPRISES INC,Industrials,Equity,700934.5,700934.5,16450,42.61,United States,NASDAQ,USD,1,USD,,0.01
SKYW,SKYWEST INC,Industrials,Equity,700828.25,700828.25,14087,49.75,United States,NASDAQ,USD,1,USD,,0.01
SANM,SANMINA CORP,Information Technology,Equity,698965.54,698965.54,18122,38.57,United States,NASDAQ,USD,1,USD,,0.01
BDN,BRANDYWINE REALTY TRUST REIT,Real Estate,Equity,697859.52,697859.52,49776,14.02,United States,New York Stock Exchange Inc.,USD,1,USD,,0.01
WWW,WOLVERINE WORLD WIDE INC,Consumer Discretionary,Equity,696951.4,696951.4,22702,30.7,United States,New York Stock Exchange Inc.,USD,1,USD,,0.01
BCRX,BIOCRYST PHARMACEUTICALS INC,Health Care,Equity,694051.99,694051.99,46301,14.99,United States,NASDAQ,USD,1,USD,,0.01
MTX,MINERALS TECHNOLOGIES INC,Materials,Equity,689056,689056,9760,70.6,United States,New York Stock Exchange Inc.,USD,1,USD,,0.01
PLXS,PLEXUS CORP,Information Technology,Equity,686850,686850,7500,91.58,United States,NASDAQ,USD,1,USD,,0.01
WSFS,WSFS FINANCIAL CORP,Financials,Equity,686547.68,686547.68,12688,54.11,United States,NASDAQ,USD,1,USD,,0.01
WWE,WORLD WRESTLING ENTERTAINMENT INC,Communication,Equity,686599.68,686599.68,11661,58.88,United States,New York Stock Exchange Inc.,USD,1,USD,,0.01
CVBF,CVB FINANCIAL CORP,Financials,Equity,683014.25,683014.25,34583,19.75,United States,NASDAQ,USD,1,USD,,0.01
EGHT,8X8 INC - COM,Information Technology,Equity,676300.1,676300.1,28238,23.95,United States,New York Stock Exchange Inc.,USD,1,USD,,0.01
SITC,SITE CENTERS CORP,Real Estate,Equity,675767.88,675767.88,39939,16.92,United States,New York Stock Exchange Inc.,USD,1,USD,,0.01
HLIO,HELIOS TECHNOLOGIES INC,Industrials,Equity,675015,675015,8182,82.5,United States,NASDAQ,USD,1,USD,,0.01
ANF,ABERCROMBIE AND FITCH CLASS A,Consumer Discretionary,Equity,674385.06,674385.06,17998,37.47,United States,New York Stock Exchange Inc.,USD,1,USD,,0.01
COLB,COLUMBIA BANKING SYSTEM INC,Financials,Equity,672050.5,672050.5,19525,34.42,United States,NASDAQ,USD,1,USD,,0.01
NEU,NEWMARKET CORP,Materials,Equity,670387.86,670387.86,1854,361.59,United States,New York Stock Exchange Inc.,USD,1,USD,,0.01
MLI,MUELLER INDUSTRIES INC,Industrials,Equity,662750.44,662750.44,15532,42.67,United States,New York Stock Exchange Inc.,USD,1,USD,,0.01
HUBG,HUB GROUP INC CLASS A,Industrials,Equity,659075.58,659075.58,9223,71.46,United States,NASDAQ,USD,1,USD,,0.01
BDC,BELDEN INC,Information Technology,Equity,648991.2,648991.2,10736,60.45,United States,New York Stock Exchange Inc.,USD,1,USD,,0.01
AMKR,AMKOR TECHNOLOGY INC,Information Technology,Equity,649887.24,649887.24,29156,22.29,United States,NASDAQ,USD,1,USD,,0.01
AIN,ALBANY INTERNATIONAL CORP CLASS A,Industrials,Equity,645368.5,645368.5,8017,80.5,United States,New York Stock Exchange Inc.,USD,1,USD,,0.01
MDP,MEREDITH CORP,Communication,Equity,644961.16,644961.16,11078,58.22,United States,New York Stock Exchange Inc.,USD,1,USD,,0.01
BRC,BRADY NONVOTING CORP CLASS A,Industrials,Equity,644491.85,644491.85,12785,50.41,United States,New York Stock Exchange Inc.,USD,1,USD,,0.01
SASR,SANDY SPRING BANCORP INC,Financials,Equity,640594.5,640594.5,13650,46.93,United States,NASDAQ,USD,1,USD,,0.01
HSKA,HESKA CORP,Health Care,Equity,638497.02,638497.02,2526,252.77,United States,NASDAQ,USD,1,USD,,0.01
OI,O I GLASS INC,Materials,Equity,636132.91,636132.91,43841,14.51,United States,New York Stock Exchange Inc.,USD,1,USD,,0.01
ODP,ODP CORP,Consumer Discretionary,Equity,632038.8,632038.8,14440,43.77,United States,NASDAQ,USD,1,USD,,0.01
NHI,NATIONAL HEALTH INVESTORS REIT INC,Real Estate,Equity,631208.03,631208.03,11437,55.19,United States,New York Stock Exchange Inc.,USD,1,USD,,0.01
WSBC,WESBANCO INC,Financials,Equity,631061.48,631061.48,16996,37.13,United States,NASDAQ,USD,1,USD,,0.01
OMI,OWENS & MINOR INC,Health Care,Equity,624132.6,624132.6,19596,31.85,United States,New York Stock Exchange Inc.,USD,1,USD,,0.01
FMBI,FIRST MIDWEST BANCORP INC,Financials,Equity,619925.14,619925.14,32731,18.94,United States,NASDAQ,USD,1,USD,,0.01
